iter	Accuracy	Logloss
692	0.9068875594	0.2422009157
693	0.907194355	0.2420292718
694	0.907194355	0.2418977574
695	0.907194355	0.2417746773
696	0.9073477527	0.2415612059
697	0.9076545482	0.2412757597
698	0.9081147415	0.2411312357
699	0.9079613438	0.2409767125
700	0.9082681393	0.2408781971
701	0.9082681393	0.2408265298
702	0.9081147415	0.2407187896
703	0.9085749348	0.2405563486
704	0.9085749348	0.2404483141
705	0.9088817303	0.2402332772
706	0.9091885258	0.2400482725
707	0.9088817303	0.2399457063
708	0.9088817303	0.2398498538
709	0.9096487191	0.2396096217
710	0.9098021169	0.2395630854
711	0.9091885258	0.2393970927
712	0.9091885258	0.2392488397
713	0.9098021169	0.2390916376
714	0.9099555146	0.2389816114
715	0.9099555146	0.2388424595
716	0.9101089124	0.2387198731
717	0.9102623102	0.2386053437
718	0.9108759012	0.2383571144
719	0.9113360945	0.2382167629
720	0.9111826967	0.2380191455
721	0.9111826967	0.2379703988
722	0.9114894923	0.237897764
723	0.9113360945	0.2378122041
724	0.9114894923	0.2377307126
725	0.91164289	0.2376882077
726	0.9119496855	0.2376132498
727	0.9119496855	0.2374449928
728	0.9117962878	0.2373145672
729	0.9114894923	0.2372241093
730	0.9117962878	0.2370630215
731	0.9121030833	0.2368899141
732	0.9121030833	0.2367932887
733	0.9121030833	0.2365512684
734	0.9122564811	0.2363646922
735	0.9122564811	0.2362723681
736	0.9122564811	0.2361646609
737	0.9124098788	0.2360188752
738	0.9127166743	0.2358617487
739	0.9127166743	0.2358254542
740	0.9125632766	0.2356912538
741	0.9125632766	0.2355661406
742	0.9127166743	0.2354279327
743	0.9125632766	0.235266874
744	0.9125632766	0.2351469867
745	0.9122564811	0.2349349961
746	0.9125632766	0.234764868
747	0.9127166743	0.2346836966
748	0.9128700721	0.2345230834
749	0.9128700721	0.2343837004
750	0.9131768676	0.2342903542
751	0.9133302654	0.2341982692
752	0.9133302654	0.234002169
753	0.9131768676	0.2339529884
754	0.9131768676	0.2338916046
755	0.9131768676	0.2337855854
756	0.9130234699	0.2336513833
757	0.9130234699	0.233584581
758	0.9131768676	0.2334715887
759	0.9130234699	0.2333302813
760	0.9130234699	0.2332955506
761	0.9130234699	0.2331918212
762	0.9134836631	0.2330750915
763	0.9137904587	0.2329512363
764	0.9137904587	0.2328252459
765	0.9136370609	0.2326580493
766	0.9139438564	0.232576598
767	0.9144040497	0.2324236692
768	0.9140972542	0.2322991323
769	0.9144040497	0.2321676525
770	0.9144040497	0.2321047368
771	0.9144040497	0.2318826918
772	0.9147108452	0.2317059379
773	0.9147108452	0.2316105311
774	0.9145574475	0.231515326
775	0.9147108452	0.231394343
776	0.9150176407	0.2312525707
777	0.914864243	0.2311645989
778	0.914864243	0.2310720551
779	0.914864243	0.230874455
780	0.9150176407	0.230713036
781	0.915477834	0.2304745156
782	0.9157846295	0.2302653491
783	0.9159380273	0.2301027427
784	0.9159380273	0.2300505579
785	0.9159380273	0.2299791523
786	0.9159380273	0.2298904943
787	0.9163982206	0.2296727225
788	0.9162448228	0.229600234
789	0.9163982206	0.229523879
790	0.9163982206	0.2293992993
791	0.9163982206	0.229294343
792	0.9162448228	0.2292090346
793	0.9162448228	0.2291733365
794	0.9163982206	0.229007973
795	0.9165516183	0.2288753413
796	0.9167050161	0.2288060377
797	0.9167050161	0.2286897533
798	0.9170118116	0.2284887695
799	0.9168584139	0.228264788
800	0.9170118116	0.2281040399
801	0.9171652094	0.2279813584
802	0.9171652094	0.2278636315
803	0.9171652094	0.2278384789
804	0.9174720049	0.2277285917
805	0.9176254027	0.2275970216
806	0.9177788004	0.227514009
807	0.9177788004	0.2273717773
808	0.9179321982	0.227253797
809	0.9182389937	0.2271355854
810	0.9182389937	0.2270227104
811	0.9183923915	0.2269003438
812	0.9185457892	0.2267044964
813	0.9185457892	0.2266185252
814	0.9185457892	0.2265253469
815	0.918699187	0.2263711192
816	0.918699187	0.2262306559
817	0.918699187	0.2260551298
818	0.9188525848	0.2259510895
819	0.9190059825	0.2257923217
820	0.918699187	0.2256710435
821	0.9190059825	0.2255149314
822	0.9190059825	0.2254234711
823	0.9191593803	0.2253389232
824	0.9191593803	0.2251693274
825	0.9188525848	0.2250073537
826	0.9188525848	0.2249763566
827	0.919312778	0.2248686509
828	0.9194661758	0.2247492573
829	0.9197729713	0.2246332067
830	0.9202331646	0.2244620554
831	0.9203865624	0.2243765893
832	0.9205399601	0.2242238781
833	0.9208467556	0.2240430177
834	0.9206933579	0.2239791351
835	0.9208467556	0.2238364916
836	0.9208467556	0.2236644229
837	0.9211535512	0.223423614
838	0.9211535512	0.2233613662
839	0.9210001534	0.2231901988
840	0.9214603467	0.2230354856
841	0.9214603467	0.2229500509
842	0.9214603467	0.2228979832
843	0.9213069489	0.2228156529
844	0.9213069489	0.2226705695
845	0.92192054	0.2226310797
846	0.92192054	0.2225888192
847	0.92192054	0.2225190116
848	0.9217671422	0.2224768529
849	0.9217671422	0.2222906599
850	0.9217671422	0.2221771511
851	0.9217671422	0.2220768153
852	0.9217671422	0.2220310719
853	0.9217671422	0.221900507
854	0.92192054	0.2217773804
855	0.9217671422	0.2217198503
856	0.92192054	0.2216349386
857	0.9217671422	0.2215343825
858	0.92192054	0.2213677275
859	0.92192054	0.2212624668
860	0.92192054	0.2211506289
861	0.9220739377	0.2210897109
862	0.9220739377	0.2210214287
863	0.9222273355	0.2209456673
864	0.9222273355	0.2208507416
865	0.9222273355	0.2207613914
866	0.9222273355	0.2206608799
867	0.9223807332	0.2206203679
868	0.9222273355	0.2205845343
869	0.922534131	0.2205046471
870	0.9226875288	0.2204354529
871	0.922534131	0.220252404
872	0.922534131	0.2201582295
873	0.9226875288	0.2199688072
874	0.922534131	0.2199039708
875	0.922534131	0.2197002023
876	0.9223807332	0.2195540026
877	0.9223807332	0.2194042715
878	0.922534131	0.2192986723
879	0.9226875288	0.2191314483
880	0.9228409265	0.2190295133
